V ;num_sommet ;nom_sommet ;numéro_ligne ;si_terminus ;branchement
V ;0137 ;Invalides ;13 ;False ;0
V ;0138 ;Invalides ;8 ;False ;0
V ;0139 ;Iéna ;9 ;False ;0
V ;0140 ;Jacques Bonsergent ;5 ;False ;0
V ;0141 ;Jasmin ;9 ;False ;0
V ;0142 ;Jaurès ;2 ;False ;0
V ;0143 ;Jaurès ;5 ;False ;0
V ;0144 ;Jaurès ;7bis ;False ;0
V ;0145 ;Javel ;10 ;False ;0
V ;0146 ;Jourdain ;11 ;False ;0
V ;0147 ;Jules Joffrin ;12 ;False ;0
V ;0148 ;Jussieu ;10 ;False ;0
V ;0149 ;Jussieu ;7 ;False ;0
V ;0150 ;Kléber ;6 ;False ;0
V ;0151 ;La Chapelle ;2 ;False ;0
V ;0152 ;La Courneuve, 8 Mai 1945 ;7 ;True ;0
V ;0153 ;La Fourche ;13 ;False ;0
V ;0154 ;La Motte Picquet, Grenelle ;10 ;False ;0
V ;0155 ;La Motte Picquet, Grenelle ;6 ;False ;0
V ;0156 ;La Motte Picquet, Grenelle ;8 ;False ;0
V ;0157 ;La Muette ;9 ;False ;0
V ;0158 ;La Tour-Maubourg ;8 ;False ;0
V ;0159 ;Lamarck Caulaincourt ;12 ;False ;0
V ;0160 ;Laumière ;5 ;False ;0
V ;0161 ;Le Kremlin-Bicêtre ;7 ;False ;2
V ;0162 ;Le Peletier ;7 ;False ;0
V ;0163 ;Ledru Rollin ;8 ;False ;0
V ;0164 ;Les Gobelins ;7 ;False ;0
V ;0165 ;Les Halles ;4 ;False ;0
V ;0166 ;Les Sablons ;1 ;False ;0
V ;0167 ;Liberté ;8 ;False ;0
V ;0168 ;Liège ;13 ;False ;0
V ;0169 ;Louis Blanc ;7 ;False ;0
V ;0170 ;Louis Blanc ;7bis ;True ;0
V ;0171 ;Louise Michel ;3 ;False ;0
V ;0172 ;Lourmel ;8 ;False ;0
V ;0173 ;Louvre, Rivoli ;1 ;False ;0
V ;0174 ;Mabillon ;10 ;False ;0
V ;0175 ;Madeleine ;12 ;False ;0
V ;0176 ;Madeleine ;14 ;True ;0
V ;0177 ;Madeleine ;8 ;False ;0
V ;0178 ;Mairie d'Issy ;12 ;True ;0
V ;0179 ;Mairie d'Ivry ;7 ;True ;1
V ;0180 ;Mairie de Clichy ;13 ;False ;2
V ;0181 ;Mairie de Montreuil ;9 ;True ;0
V ;0182 ;Mairie de Saint-Ouen ;13 ;False ;1
V ;0183 ;Mairie des Lilas ;11 ;True ;0
V ;0184 ;Maison Blanche ;7 ;False ;0
V ;0185 ;Maisons-Alfort les Juilliottes ;8 ;False ;0
V ;0186 ;Maisons-Alfort, Stade ;8 ;False ;0
V ;0187 ;Malakoff-Plateau de Vanves ;13 ;False ;0
V ;0188 ;Malakoff-Rue Étienne Dolet ;13 ;False ;0
V ;0189 ;Malesherbes ;3 ;False ;0
V ;0190 ;Maraîchers ;9 ;False ;0
V ;0191 ;Marcadet Poissonniers ;12 ;False ;0
V ;0192 ;Marcadet Poissonniers ;4 ;False ;0
V ;0193 ;Marcel Sembat ;9 ;False ;0
V ;0194 ;Marx Dormoy ;12 ;False ;0
V ;0195 ;Maubert Mutualité ;10 ;False ;0
V ;0196 ;Michel Ange Auteuil ;10 ;False ;0
V ;0197 ;Michel Ange Auteuil ;9 ;False ;0
V ;0198 ;Michel Ange Molitor ;10 ;False ;0
V ;0199 ;Michel Ange Molitor ;9 ;False ;0
V ;0200 ;Michel Bizot ;8 ;False ;0
V ;0201 ;Mirabeau ;10 ;False ;0
V ;0202 ;Miromesnil ;13 ;False ;0
V ;0203 ;Miromesnil ;9 ;False ;0
V ;0204 ;Monceau ;2 ;False ;0
V ;0205 ;Montgallet ;8 ;False ;0
V ;0206 ;Montparnasse Bienvenue ;12 ;False ;0
V ;0207 ;Montparnasse Bienvenue ;13 ;False ;0
V ;0208 ;Montparnasse Bienvenue ;4 ;False ;0
V ;0209 ;Montparnasse Bienvenue ;6 ;False ;0
V ;0210 ;Mouton-Duvernet ;4 ;False ;0
V ;0211 ;Ménilmontant ;2 ;False ;0
V ;0212 ;Nation ;1 ;False ;0
V ;0213 ;Nation ;2 ;True ;0
V ;0214 ;Nation ;6 ;True ;0
V ;0215 ;Nation ;9 ;False ;0
V ;0216 ;Nationale ;6 ;False ;0
V ;0217 ;Notre Dame de Lorette ;12 ;False ;0
V ;0218 ;Notre-Dame-des-Champs ;12 ;False ;0
